contactid,userid,moduleid,operatetime
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2016-03-18 11:35:37.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2016-12-11 16:36:37.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1016,2018-02-24 09:46:32.077
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2019-07-31 15:08:14.777
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2018-08-08 11:27:17.733
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,20,2016-11-04 08:42:08.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-04-25 16:34:14.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-04-22 09:35:26.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-04-08 08:18:33.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2018-05-25 08:33:20.727
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2017-07-30 11:43:21.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2016-03-26 17:07:27.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-05-31 10:33:06.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,27,2018-03-16 08:43:29.813
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2016-01-25 15:27:25.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2017-03-06 11:45:47.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-07-07 10:12:48.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-11-29 09:41:06.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-03-05 09:43:50.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2017-01-11 08:13:04.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,27,2018-08-05 16:58:19.683
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,27,2017-11-17 16:58:47.193
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-11-03 08:42:05.167
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2018-04-12 11:11:43.523
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2017-10-07 15:34:35.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-08-13 10:16:00.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1013,2018-04-28 10:06:16.637
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2017-02-28 15:32:22.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-03-13 10:05:28.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2017-06-05 11:29:05.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2019-05-17 11:36:57.957
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2016-03-13 10:59:57.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2018-09-20 12:37:24.410
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2018-12-28 10:22:02.823
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2017-05-16 12:15:32.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-12-18 10:51:34.093
